[macro_film] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch 214/300 | D=-0.4036 G=-0.7539 | frob=2.7226 (best=2.2893) | 33.4s
Epoch 215/300 | D=-0.4039 G=-0.7621 | frob=3.0377 (best=2.2893) | 33.6s
Epoch 216/300 | D=-0.3993 G=-0.7513 | frob=3.1558 (best=2.2893) | 33.1s
Epoch 217/300 | D=-0.4014 G=-0.7385 | frob=2.8646 (best=2.2893) | 33.3s
Epoch 218/300 | D=-0.4014 G=-0.7422 | frob=2.9728 (best=2.2893) | 33.3s
Epoch 219/300 | D=-0.3970 G=-0.7438 | frob=2.8153 (best=2.2893) | 33.6s
Epoch 220/300 | D=-0.3946 G=-0.7305 | frob=3.0441 (best=2.2893) | 33.4s
Epoch 221/300 | D=-0.3932 G=-0.7279 | frob=2.7026 (best=2.2893) | 33.3s
Epoch 222/300 | D=-0.3940 G=-0.7359 | frob=3.2745 (best=2.2893) | 33.6s
Epoch 223/300 | D=-0.3921 G=-0.7377 | frob=2.7940 (best=2.2893) | 33.3s
Epoch 224/300 | D=-0.3892 G=-0.7362 | frob=3.3764 (best=2.2893) | 33.2s
Epoch 225/300 | D=-0.3935 G=-0.7384 | frob=3.1154 (best=2.2893) | 33.5s
Epoch 226/300 | D=-0.3904 G=-0.7421 | frob=3.2289 (best=2.2893) | 33.4s
Epoch 227/300 | D=-0.3872 G=-0.7538 | frob=3.2955 (best=2.2893) | 33.3s
Early stopping at epoch 227

Fine-tuning 10 epochs...
  FT 1/10 | D=-0.3874 G=-0.7504
  FT 2/10 | D=-0.3970 G=-0.7301
  FT 3/10 | D=-0.4053 G=-0.7217
  FT 4/10 | D=-0.4068 G=-0.7392
  FT 5/10 | D=-0.4095 G=-0.7541
  FT 6/10 | D=-0.4126 G=-0.7602
  FT 7/10 | D=-0.4155 G=-0.7736
  FT 8/10 | D=-0.4162 G=-0.7856
  FT 9/10 | D=-0.4164 G=-0.7948
  FT 10/10 | D=-0.4197 G=-0.7961

Done. Best val_frob=2.2893
