[sf_balanced] all (60 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch 115/300 | D=-0.4970 G=-0.4256 SF=0.0005(s=10.00) | frob=1.7322 (best=1.6016) | 18.6s
Epoch 116/300 | D=-0.5031 G=-0.4881 SF=0.0005(s=10.00) | frob=1.7499 (best=1.6016) | 18.5s
Epoch 117/300 | D=-0.5122 G=-0.5283 SF=0.0005(s=10.00) | frob=1.8274 (best=1.6016) | 18.5s
Epoch 118/300 | D=-0.5172 G=-0.5435 SF=0.0005(s=10.00) | frob=1.7690 (best=1.6016) | 18.5s
Epoch 119/300 | D=-0.5220 G=-0.5556 SF=0.0005(s=10.00) | frob=1.6835 (best=1.6016) | 18.4s
Epoch 120/300 | D=-0.5284 G=-0.5463 SF=0.0005(s=10.00) | frob=1.7477 (best=1.6016) | 18.3s
Epoch 121/300 | D=-0.5330 G=-0.5906 SF=0.0005(s=10.00) | frob=1.7395 (best=1.6016) | 18.3s
Epoch 122/300 | D=-0.5410 G=-0.6209 SF=0.0005(s=10.00) | frob=1.7946 (best=1.6016) | 18.5s
Epoch 123/300 | D=-0.5455 G=-0.6365 SF=0.0005(s=10.00) | frob=1.9817 (best=1.6016) | 18.4s
Epoch 124/300 | D=-0.5489 G=-0.6232 SF=0.0005(s=10.00) | frob=1.8175 (best=1.6016) | 18.5s
Epoch 125/300 | D=-0.5491 G=-0.6608 SF=0.0005(s=10.00) | frob=1.8669 (best=1.6016) | 18.4s
Epoch 126/300 | D=-0.5541 G=-0.7418 SF=0.0005(s=10.00) | frob=1.9148 (best=1.6016) | 18.7s
Epoch 127/300 | D=-0.5555 G=-0.7603 SF=0.0005(s=10.00) | frob=1.7767 (best=1.6016) | 18.5s
Epoch 128/300 | D=-0.5594 G=-0.7614 SF=0.0005(s=10.00) | frob=1.7627 (best=1.6016) | 18.5s
Epoch 129/300 | D=-0.5594 G=-0.7999 SF=0.0005(s=10.00) | frob=1.8461 (best=1.6016) | 18.7s
Epoch 130/300 | D=-0.5626 G=-0.8271 SF=0.0005(s=10.00) | frob=1.9249 (best=1.6016) | 18.3s
Epoch 131/300 | D=-0.5629 G=-0.8527 SF=0.0005(s=10.00) | frob=1.9095 (best=1.6016) | 18.4s
Epoch 132/300 | D=-0.5658 G=-0.8931 SF=0.0005(s=10.00) | frob=1.9830 (best=1.6016) | 18.4s
Epoch 133/300 | D=-0.5663 G=-0.9181 SF=0.0005(s=10.00) | frob=2.0061 (best=1.6016) | 18.5s
Epoch 134/300 | D=-0.5665 G=-0.9703 SF=0.0004(s=10.00) | frob=1.9846 (best=1.6016) | 18.7s
Epoch 135/300 | D=-0.5675 G=-1.0103 SF=0.0004(s=10.00) | frob=1.9726 (best=1.6016) | 18.6s
Epoch 136/300 | D=-0.5670 G=-1.0350 SF=0.0004(s=10.00) | frob=1.9494 (best=1.6016) | 18.6s
Epoch 137/300 | D=-0.5697 G=-1.0511 SF=0.0004(s=10.00) | frob=1.8719 (best=1.6016) | 18.5s
Epoch 138/300 | D=-0.5679 G=-1.0920 SF=0.0004(s=10.00) | frob=2.1513 (best=1.6016) | 18.8s
Epoch 139/300 | D=-0.5663 G=-1.1342 SF=0.0004(s=10.00) | frob=2.0049 (best=1.6016) | 18.3s
Epoch 140/300 | D=-0.5638 G=-1.1604 SF=0.0004(s=10.00) | frob=1.9870 (best=1.6016) | 18.6s
Epoch 141/300 | D=-0.5667 G=-1.1836 SF=0.0004(s=10.00) | frob=1.9466 (best=1.6016) | 18.5s
Epoch 142/300 | D=-0.5667 G=-1.1972 SF=0.0004(s=10.00) | frob=2.1411 (best=1.6016) | 18.5s
Epoch 143/300 | D=-0.5658 G=-1.2317 SF=0.0004(s=10.00) | frob=1.9028 (best=1.6016) | 18.5s
Epoch 144/300 | D=-0.5648 G=-1.2722 SF=0.0004(s=10.00) | frob=1.8301 (best=1.6016) | 18.7s
Epoch 145/300 | D=-0.5650 G=-1.3041 SF=0.0004(s=10.00) | frob=2.0942 (best=1.6016) | 18.5s
Epoch 146/300 | D=-0.5656 G=-1.3330 SF=0.0004(s=10.00) | frob=1.9893 (best=1.6016) | 18.5s
Epoch 147/300 | D=-0.5626 G=-1.3546 SF=0.0004(s=10.00) | frob=1.8911 (best=1.6016) | 18.7s
Epoch 148/300 | D=-0.5591 G=-1.3617 SF=0.0004(s=10.00) | frob=1.7840 (best=1.6016) | 18.3s
Epoch 149/300 | D=-0.5579 G=-1.3572 SF=0.0004(s=10.00) | frob=2.2866 (best=1.6016) | 18.4s
Epoch 150/300 | D=-0.5587 G=-1.3747 SF=0.0004(s=10.00) | frob=2.0535 (best=1.6016) | 18.6s
Epoch 151/300 | D=-0.5578 G=-1.3840 SF=0.0004(s=10.00) | frob=2.0309 (best=1.6016) | 18.5s
Epoch 152/300 | D=-0.5570 G=-1.4281 SF=0.0004(s=10.00) | frob=1.8858 (best=1.6016) | 18.3s
Epoch 153/300 | D=-0.5526 G=-1.4176 SF=0.0004(s=10.00) | frob=2.1636 (best=1.6016) | 18.5s
Epoch 154/300 | D=-0.5574 G=-1.4175 SF=0.0004(s=10.00) | frob=1.7354 (best=1.6016) | 18.5s
Epoch 155/300 | D=-0.5521 G=-1.4355 SF=0.0004(s=10.00) | frob=2.0041 (best=1.6016) | 18.6s
Epoch 156/300 | D=-0.5471 G=-1.4653 SF=0.0003(s=10.00) | frob=2.1452 (best=1.6016) | 18.6s
Epoch 157/300 | D=-0.5447 G=-1.5093 SF=0.0003(s=10.00) | frob=2.1560 (best=1.6016) | 18.6s
Epoch 158/300 | D=-0.5462 G=-1.5065 SF=0.0003(s=10.00) | frob=2.1040 (best=1.6016) | 18.4s
Epoch 159/300 | D=-0.5399 G=-1.5221 SF=0.0003(s=10.00) | frob=1.8978 (best=1.6016) | 18.4s
Epoch 160/300 | D=-0.5393 G=-1.5466 SF=0.0003(s=10.00) | frob=2.0102 (best=1.6016) | 18.4s
Epoch 161/300 | D=-0.5399 G=-1.5638 SF=0.0003(s=10.00) | frob=1.9888 (best=1.6016) | 18.4s
Epoch 162/300 | D=-0.5380 G=-1.5830 SF=0.0003(s=10.00) | frob=1.8868 (best=1.6016) | 18.5s
Epoch 163/300 | D=-0.5330 G=-1.5944 SF=0.0003(s=10.00) | frob=1.9436 (best=1.6016) | 18.4s
Early stopping at epoch 163

Fine-tuning 10 epochs...
  FT 1/10 | D=-0.5327 G=-1.6080
  FT 2/10 | D=-0.5421 G=-1.5968
  FT 3/10 | D=-0.5471 G=-1.5887
  FT 4/10 | D=-0.5489 G=-1.5680
  FT 5/10 | D=-0.5489 G=-1.5834
  FT 6/10 | D=-0.5532 G=-1.5875
  FT 7/10 | D=-0.5579 G=-1.5659
  FT 8/10 | D=-0.5603 G=-1.5722
  FT 9/10 | D=-0.5596 G=-1.5639
  FT 10/10 | D=-0.5622 G=-1.5633

Done. Best val_frob=1.6016
