[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 109/300 | D=-0.2777 G=7.0023 SF=0.0264 | frob=5.1333 (best=4.8470) | 33.1s
Epoch 110/300 | D=-0.2801 G=7.0122 SF=0.0278 | frob=5.0039 (best=4.8470) | 32.8s
Epoch 111/300 | D=-0.2836 G=6.7753 SF=0.0245 | frob=5.1478 (best=4.8470) | 33.1s
Epoch 112/300 | D=-0.2753 G=6.5536 SF=0.0297 | frob=5.1683 (best=4.8470) | 33.3s
Epoch 113/300 | D=-0.3002 G=6.8882 SF=0.0255 | frob=5.2345 (best=4.8470) | 32.5s
Epoch 114/300 | D=-0.2802 G=6.5748 SF=0.0265 | frob=4.9327 (best=4.8470) | 32.5s
Epoch 115/300 | D=-0.2868 G=6.7772 SF=0.0256 | frob=5.1934 (best=4.8470) | 33.3s
Epoch 116/300 | D=-0.2800 G=6.5786 SF=0.0251 | frob=5.0052 (best=4.8470) | 35.1s
Epoch 117/300 | D=-0.2960 G=6.6539 SF=0.0248 | frob=5.1690 (best=4.8470) | 32.4s
Epoch 118/300 | D=-0.2896 G=6.5374 SF=0.0248 | frob=4.9107 (best=4.8470) | 34.1s
Epoch 119/300 | D=-0.2869 G=6.6951 SF=0.0216 | frob=4.9995 (best=4.8470) | 34.2s
Epoch 120/300 | D=-0.2994 G=6.4196 SF=0.0214 | frob=5.1103 (best=4.8470) | 34.6s
Epoch 121/300 | D=-0.2952 G=6.6166 SF=0.0218 | frob=4.8207 (best=4.8470) | 34.1s
Epoch 122/300 | D=-0.2954 G=6.4872 SF=0.0241 | frob=5.0844 (best=4.8207) | 33.4s
Epoch 123/300 | D=-0.2922 G=6.3518 SF=0.0243 | frob=4.8202 (best=4.8207) | 32.8s
Epoch 124/300 | D=-0.2975 G=6.3004 SF=0.0225 | frob=5.2159 (best=4.8202) | 32.5s
Epoch 125/300 | D=-0.2902 G=6.4952 SF=0.0264 | frob=4.8312 (best=4.8202) | 33.3s
Epoch 126/300 | D=-0.2940 G=6.3780 SF=0.0220 | frob=4.6397 (best=4.8202) | 33.2s
Epoch 127/300 | D=-0.2964 G=6.5712 SF=0.0261 | frob=4.8797 (best=4.6397) | 33.0s
Epoch 128/300 | D=-0.2902 G=5.9593 SF=0.0305 | frob=4.8217 (best=4.6397) | 34.6s
Epoch 129/300 | D=-0.2965 G=5.7863 SF=0.0210 | frob=4.9193 (best=4.6397) | 34.3s
Epoch 130/300 | D=-0.2880 G=5.8047 SF=0.0217 | frob=4.9445 (best=4.6397) | 33.8s
Epoch 131/300 | D=-0.2991 G=5.8314 SF=0.0279 | frob=4.8510 (best=4.6397) | 33.0s
Epoch 132/300 | D=-0.3013 G=5.8382 SF=0.0218 | frob=4.4569 (best=4.6397) | 32.5s
Epoch 133/300 | D=-0.3037 G=6.1483 SF=0.0242 | frob=4.7213 (best=4.4569) | 33.8s
