[macro_film] all (60 assets) | device=cuda | seed=123
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch 183/300 | D=-0.4753 G=-2.6698 | frob=2.7732 (best=2.4078) | 18.5s
Epoch 184/300 | D=-0.4684 G=-2.6715 | frob=2.8940 (best=2.4078) | 18.7s
Epoch 185/300 | D=-0.4667 G=-2.6814 | frob=2.6978 (best=2.4078) | 18.5s
Epoch 186/300 | D=-0.4647 G=-2.6745 | frob=2.8783 (best=2.4078) | 18.6s
Epoch 187/300 | D=-0.4601 G=-2.6668 | frob=2.9504 (best=2.4078) | 18.4s
Epoch 188/300 | D=-0.4610 G=-2.6734 | frob=2.8730 (best=2.4078) | 18.5s
Epoch 189/300 | D=-0.4565 G=-2.6852 | frob=2.7442 (best=2.4078) | 18.5s
Epoch 190/300 | D=-0.4548 G=-2.6823 | frob=2.6630 (best=2.4078) | 18.6s
Epoch 191/300 | D=-0.4505 G=-2.6518 | frob=2.7787 (best=2.4078) | 18.6s
Epoch 192/300 | D=-0.4525 G=-2.6496 | frob=2.9336 (best=2.4078) | 18.5s
Epoch 193/300 | D=-0.4464 G=-2.6479 | frob=2.9231 (best=2.4078) | 18.6s
Epoch 194/300 | D=-0.4444 G=-2.6451 | frob=2.9537 (best=2.4078) | 18.7s
Epoch 195/300 | D=-0.4420 G=-2.6380 | frob=3.2696 (best=2.4078) | 18.7s
Epoch 196/300 | D=-0.4423 G=-2.6188 | frob=3.0053 (best=2.4078) | 18.5s
Epoch 197/300 | D=-0.4420 G=-2.6220 | frob=3.1232 (best=2.4078) | 18.5s
Epoch 198/300 | D=-0.4395 G=-2.6084 | frob=2.8214 (best=2.4078) | 18.5s
Epoch 199/300 | D=-0.4341 G=-2.6226 | frob=2.9532 (best=2.4078) | 18.8s
Epoch 200/300 | D=-0.4308 G=-2.6174 | frob=2.9292 (best=2.4078) | 18.6s
Epoch 201/300 | D=-0.4330 G=-2.6202 | frob=2.9501 (best=2.4078) | 18.5s
Epoch 202/300 | D=-0.4311 G=-2.6194 | frob=2.9147 (best=2.4078) | 18.6s
Epoch 203/300 | D=-0.4285 G=-2.6229 | frob=3.2312 (best=2.4078) | 18.6s
Epoch 204/300 | D=-0.4252 G=-2.6146 | frob=3.1731 (best=2.4078) | 18.8s
Epoch 205/300 | D=-0.4248 G=-2.6137 | frob=3.3431 (best=2.4078) | 18.6s
Epoch 206/300 | D=-0.4240 G=-2.5949 | frob=3.1398 (best=2.4078) | 18.6s
Epoch 207/300 | D=-0.4189 G=-2.5738 | frob=3.2180 (best=2.4078) | 18.4s
Epoch 208/300 | D=-0.4180 G=-2.5731 | frob=3.2724 (best=2.4078) | 18.9s
Epoch 209/300 | D=-0.4187 G=-2.5625 | frob=3.1843 (best=2.4078) | 18.5s
Epoch 210/300 | D=-0.4183 G=-2.5658 | frob=3.1883 (best=2.4078) | 18.4s
Epoch 211/300 | D=-0.4176 G=-2.5742 | frob=3.0637 (best=2.4078) | 18.5s
Epoch 212/300 | D=-0.4106 G=-2.5678 | frob=3.1019 (best=2.4078) | 18.6s
Epoch 213/300 | D=-0.4120 G=-2.5515 | frob=2.9709 (best=2.4078) | 18.5s
Epoch 214/300 | D=-0.4078 G=-2.5459 | frob=3.0885 (best=2.4078) | 18.8s
Early stopping at epoch 214

Fine-tuning 10 epochs...
  FT 1/10 | D=-0.4075 G=-2.6024
  FT 2/10 | D=-0.4189 G=-2.5258
  FT 3/10 | D=-0.4250 G=-2.4842
  FT 4/10 | D=-0.4277 G=-2.4739
  FT 5/10 | D=-0.4321 G=-2.4717
  FT 6/10 | D=-0.4333 G=-2.4650
  FT 7/10 | D=-0.4347 G=-2.4423
  FT 8/10 | D=-0.4374 G=-2.4309
  FT 9/10 | D=-0.4368 G=-2.4229
  FT 10/10 | D=-0.4418 G=-2.4168

Done. Best val_frob=2.4078
