[sf_balanced] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch 147/300 | D=-0.5717 G=-0.2694 SF=0.0004(s=10.00) | frob=1.8689 (best=1.6464) | 33.0s
Epoch 148/300 | D=-0.5709 G=-0.2812 SF=0.0004(s=10.00) | frob=1.8052 (best=1.6464) | 33.4s
Epoch 149/300 | D=-0.5699 G=-0.3112 SF=0.0004(s=10.00) | frob=1.7916 (best=1.6464) | 33.6s
Epoch 150/300 | D=-0.5647 G=-0.3669 SF=0.0004(s=10.00) | frob=1.9050 (best=1.6464) | 33.6s
Epoch 151/300 | D=-0.5606 G=-0.4086 SF=0.0004(s=10.00) | frob=1.6909 (best=1.6464) | 33.4s
Epoch 152/300 | D=-0.5578 G=-0.4448 SF=0.0004(s=10.00) | frob=1.7968 (best=1.6464) | 33.2s
Epoch 153/300 | D=-0.5543 G=-0.4827 SF=0.0004(s=10.00) | frob=1.8523 (best=1.6464) | 33.2s
Epoch 154/300 | D=-0.5550 G=-0.5342 SF=0.0004(s=10.00) | frob=1.6789 (best=1.6464) | 33.3s
Epoch 155/300 | D=-0.5509 G=-0.5608 SF=0.0004(s=10.00) | frob=1.7400 (best=1.6464) | 33.7s
Epoch 156/300 | D=-0.5493 G=-0.5975 SF=0.0004(s=10.00) | frob=1.9236 (best=1.6464) | 33.2s
Epoch 157/300 | D=-0.5460 G=-0.6175 SF=0.0003(s=10.00) | frob=1.7547 (best=1.6464) | 33.3s
