[sf_gen_loss] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_gen_loss] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,601,793 params
  SF gen loss: λ=0.01, warmup=50
----------------------------------------------------------------------
Epoch 110/300 | D=-0.4516 G=-15.8414 SF=9.9789 | frob=3.5138 (best=3.4651) | 38.4s
Epoch 111/300 | D=-0.4519 G=-15.8207 SF=7.6898 | frob=3.6350 (best=3.4651) | 39.5s
Epoch 112/300 | D=-0.4590 G=-15.7810 SF=8.1940 | frob=3.5311 (best=3.4651) | 38.1s
Epoch 113/300 | D=-0.4558 G=-15.7047 SF=8.9029 | frob=3.5123 (best=3.4651) | 39.3s
Epoch 114/300 | D=-0.4552 G=-15.7269 SF=5.1119 | frob=3.5700 (best=3.4651) | 38.8s
Epoch 115/300 | D=-0.4540 G=-15.6679 SF=9.1630 | frob=3.7434 (best=3.4651) | 38.3s
Epoch 116/300 | D=-0.4620 G=-15.7179 SF=7.6920 | frob=3.4047 (best=3.4651) | 38.9s
Epoch 117/300 | D=-0.4558 G=-15.7231 SF=8.4350 | frob=3.6542 (best=3.4047) | 39.3s
Epoch 118/300 | D=-0.4561 G=-15.5530 SF=9.1372 | frob=3.4730 (best=3.4047) | 38.5s
Epoch 119/300 | D=-0.4579 G=-15.4529 SF=9.6922 | frob=3.9031 (best=3.4047) | 39.4s
Epoch 120/300 | D=-0.4617 G=-15.5140 SF=10.4652 | frob=3.5874 (best=3.4047) | 39.1s
Epoch 121/300 | D=-0.4555 G=-15.4569 SF=5.7656 | frob=3.5119 (best=3.4047) | 40.2s
Epoch 122/300 | D=-0.4606 G=-15.6282 SF=10.2153 | frob=3.5542 (best=3.4047) | 39.9s
Epoch 123/300 | D=-0.4604 G=-15.4654 SF=9.1573 | frob=3.7000 (best=3.4047) | 39.4s
Epoch 124/300 | D=-0.4501 G=-15.5848 SF=5.6236 | frob=3.2030 (best=3.4047) | 39.2s
Epoch 125/300 | D=-0.4564 G=-15.5685 SF=10.8481 | frob=3.5536 (best=3.2030) | 39.1s
Epoch 126/300 | D=-0.4590 G=-15.4286 SF=6.7216 | frob=3.6711 (best=3.2030) | 38.4s
Epoch 127/300 | D=-0.4430 G=-15.4063 SF=6.2766 | frob=3.8955 (best=3.2030) | 39.1s
Epoch 128/300 | D=-0.4487 G=-15.6318 SF=6.3804 | frob=3.7497 (best=3.2030) | 40.1s
Epoch 129/300 | D=-0.4600 G=-15.4966 SF=6.6412 | frob=3.5409 (best=3.2030) | 38.6s
Epoch 130/300 | D=-0.4482 G=-15.6668 SF=13.5446 | frob=3.3689 (best=3.2030) | 38.3s
Epoch 131/300 | D=-0.4521 G=-15.6621 SF=5.8072 | frob=3.7887 (best=3.2030) | 39.4s
Epoch 132/300 | D=-0.4597 G=-15.5170 SF=5.5753 | frob=3.7196 (best=3.2030) | 39.6s
Epoch 133/300 | D=-0.4552 G=-15.4414 SF=6.3615 | frob=3.5126 (best=3.2030) | 39.0s
Epoch 134/300 | D=-0.4609 G=-15.2323 SF=20.6552 | frob=3.4896 (best=3.2030) | 39.6s
Epoch 135/300 | D=-0.4502 G=-15.3411 SF=6.5983 | frob=3.6813 (best=3.2030) | 38.4s
Epoch 136/300 | D=-0.4501 G=-15.5060 SF=9.2096 | frob=3.7108 (best=3.2030) | 38.9s
Epoch 137/300 | D=-0.4573 G=-15.1409 SF=20.0010 | frob=3.6151 (best=3.2030) | 39.1s
Epoch 138/300 | D=-0.4580 G=-15.2539 SF=9.7752 | frob=3.5671 (best=3.2030) | 38.6s
Epoch 139/300 | D=-0.4594 G=-15.3035 SF=5.2839 | frob=3.6859 (best=3.2030) | 38.7s
Epoch 140/300 | D=-0.4554 G=-15.4123 SF=7.8969 | frob=3.6516 (best=3.2030) | 38.9s
Epoch 141/300 | D=-0.4592 G=-15.2675 SF=7.0537 | frob=3.4627 (best=3.2030) | 39.3s
Epoch 142/300 | D=-0.4539 G=-15.1202 SF=9.4899 | frob=4.1764 (best=3.2030) | 38.5s
Epoch 143/300 | D=-0.4566 G=-15.3081 SF=4.5379 | frob=3.5980 (best=3.2030) | 38.4s
Epoch 144/300 | D=-0.4557 G=-15.3625 SF=6.9657 | frob=3.4989 (best=3.2030) | 39.3s
Epoch 145/300 | D=-0.4632 G=-15.4517 SF=6.3843 | frob=3.6334 (best=3.2030) | 39.1s
Epoch 146/300 | D=-0.4537 G=-15.2972 SF=4.6315 | frob=3.4335 (best=3.2030) | 38.0s
Epoch 147/300 | D=-0.4606 G=-15.3688 SF=7.5987 | frob=3.3262 (best=3.2030) | 39.0s
Epoch 148/300 | D=-0.4556 G=-15.3016 SF=5.0636 | frob=3.6726 (best=3.2030) | 38.6s
Epoch 149/300 | D=-0.4547 G=-15.0459 SF=6.4511 | frob=3.6662 (best=3.2030) | 39.3s
Epoch 150/300 | D=-0.4555 G=-15.1261 SF=5.3584 | frob=3.5843 (best=3.2030) | 39.1s
Epoch 151/300 | D=-0.4629 G=-15.0603 SF=7.1459 | frob=3.5712 (best=3.2030) | 39.0s
Epoch 152/300 | D=-0.4577 G=-15.3071 SF=5.2758 | frob=3.6443 (best=3.2030) | 38.8s
Epoch 153/300 | D=-0.4544 G=-15.2991 SF=5.4443 | frob=3.7633 (best=3.2030) | 39.2s
Epoch 154/300 | D=-0.4568 G=-15.1085 SF=7.2169 | frob=3.7060 (best=3.2030) | 38.3s
Epoch 155/300 | D=-0.4539 G=-15.0652 SF=11.9460 | frob=3.5959 (best=3.2030) | 39.0s
Epoch 156/300 | D=-0.4493 G=-14.8777 SF=4.7867 | frob=3.4982 (best=3.2030) | 38.8s
Epoch 157/300 | D=-0.4533 G=-14.8944 SF=4.6780 | frob=3.7104 (best=3.2030) | 39.0s
Epoch 158/300 | D=-0.4575 G=-14.9162 SF=3.8088 | frob=3.8311 (best=3.2030) | 38.5s
Epoch 159/300 | D=-0.4598 G=-14.7172 SF=21.7203 | frob=3.7453 (best=3.2030) | 38.5s
Epoch 160/300 | D=-0.4574 G=-14.9254 SF=8.3418 | frob=3.6905 (best=3.2030) | 40.3s
Epoch 161/300 | D=-0.4505 G=-14.9648 SF=8.4513 | frob=3.7366 (best=3.2030) | 40.1s
Epoch 162/300 | D=-0.4646 G=-15.0804 SF=4.7718 | frob=3.5572 (best=3.2030) | 39.4s
Epoch 163/300 | D=-0.4452 G=-14.8517 SF=6.0351 | frob=3.6422 (best=3.2030) | 41.2s
Epoch 164/300 | D=-0.4620 G=-14.8377 SF=4.6351 | frob=3.5090 (best=3.2030) | 40.7s
Epoch 165/300 | D=-0.4505 G=-14.8386 SF=6.7511 | frob=3.6829 (best=3.2030) | 40.0s
Epoch 166/300 | D=-0.4506 G=-14.8978 SF=5.3297 | frob=3.7199 (best=3.2030) | 38.5s
Epoch 167/300 | D=-0.4525 G=-14.8281 SF=4.2336 | frob=3.8641 (best=3.2030) | 38.3s
Epoch 168/300 | D=-0.4622 G=-14.6953 SF=14.6028 | frob=3.6156 (best=3.2030) | 38.6s
Epoch 169/300 | D=-0.4636 G=-14.8048 SF=6.2118 | frob=3.5653 (best=3.2030) | 39.4s
Epoch 170/300 | D=-0.4510 G=-14.6136 SF=10.0310 | frob=3.6452 (best=3.2030) | 39.5s
Epoch 171/300 | D=-0.4513 G=-14.6677 SF=5.7132 | frob=3.4837 (best=3.2030) | 40.4s
Epoch 172/300 | D=-0.4514 G=-14.8439 SF=6.5143 | frob=3.9330 (best=3.2030) | 40.2s
Epoch 173/300 | D=-0.4514 G=-14.8343 SF=6.8707 | frob=3.8824 (best=3.2030) | 38.5s
Epoch 174/300 | D=-0.4534 G=-14.6604 SF=6.8433 | frob=3.6002 (best=3.2030) | 39.5s
Early stopping at epoch 174

Fine-tuning 10 epochs (lr×0.1)...
  FT 1/10 | D=-0.4230 G=-14.6693
  FT 2/10 | D=-0.4333 G=-14.5242
  FT 3/10 | D=-0.4345 G=-14.4673
  FT 4/10 | D=-0.4326 G=-14.3519
  FT 5/10 | D=-0.4304 G=-14.3157
  FT 6/10 | D=-0.4376 G=-14.3061
  FT 7/10 | D=-0.4364 G=-14.3075
  FT 8/10 | D=-0.4410 G=-14.2992
  FT 9/10 | D=-0.4409 G=-14.2495
  FT 10/10 | D=-0.4417 G=-14.2881

Done. Best val_frob=3.2030
